country,code,pop
Aruba,ABW,105845
Afghanistan,AFG,37172386
Angola,AGO,30809762
Albania,ALB,2866376
Andorra,AND,77006
Arab World,ARB,419790588
United Arab Emirates,ARE,9630959
Argentina,ARG,44494502
Armenia,ARM,2951776
American Samoa,ASM,55465
Antigua and Barbuda,ATG,96286
Australia,AUS,24982688
Austria,AUT,8840521
Azerbaijan,AZE,9939800
Burundi,BDI,11175378
Belgium,BEL,11433256
Benin,BEN,11485048
Burkina Faso,BFA,19751535
Bangladesh,BGD,161356039
Bulgaria,BGR,7025037
Bahrain,BHR,1569439
Bahamas,BHS,385640
Bosnia and Herzegovina,BIH,3323929
Belarus,BLR,9483499
Belize,BLZ,383071
Bermuda,BMU,63973
Bolivia,BOL,11353142
Brazil,BRA,209469333
Barbados,BRB,286641
Brunei,BRN,428962
Bhutan,BTN,754394
Botswana,BWA,2254126
Central African Republic,CAF,4666377
Canada,CAN,37057765
Central Europe and the Baltics,CEB,102511922
Switzerland,CHE,8513227
Channel Islands,CHI,170499
Chile,CHL,18729160
China,CHN,1392730000
Cote d'Ivoire,CIV,25069229
Cameroon,CMR,25216237
Congo (Kinshasa),COD,84068091
Congo (Brazzaville),COG,5244363
Colombia,COL,49648685
Comoros,COM,832322
Cabo Verde,CPV,543767
Costa Rica,CRI,4999441
Caribbean small states,CSS,7358965
Cuba,CUB,11338138
Curacao,CUW,159800
Cayman Islands,CYM,64174
Cyprus,CYP,1189265
Czechia,CZE,10629928
Germany,DEU,82905782
Djibouti,DJI,958920
Dominica,DMA,71625
Denmark,DNK,5793636
Dominican Republic,DOM,10627165
Algeria,DZA,42228429
East Asia & Pacific (excluding high income),EAP,2081651801
Early-demographic dividend,EAR,3249140605
East Asia & Pacific,EAS,2328220870
Europe & Central Asia (excluding high income),ECA,417797257
Europe & Central Asia,ECS,918793590
Ecuador,ECU,17084357
Egypt,EGY,98423595
Euro area,EMU,341783171
Eritrea,ERI,
Spain,ESP,46796540
Estonia,EST,1321977
Ethiopia,ETH,109224559
European Union,EUU,446786293
Fragile and conflict affected situations,FCS,743958386
Finland,FIN,5515525
Fiji,FJI,883483
France,FRA,66977107
Faroe Islands,FRO,48497
Micronesia; Fed. Sts.,FSM,112640
Gabon,GAB,2119275
United Kingdom,GBR,66460344
Georgia,GEO,3726549
Ghana,GHA,29767108
Gibraltar,GIB,33718
Guinea,GIN,12414318
Gambia,GMB,2280102
Guinea-Bissau,GNB,1874309
Equatorial Guinea,GNQ,1308974
Greece,GRC,10731726
Grenada,GRD,111454
Greenland,GRL,56025
Guatemala,GTM,17247807
Guam,GUM,165768
Guyana,GUY,779004
High income,HIC,1210312147
Hong Kong SAR; China,HKG,7451000
Honduras,HND,9587522
Heavily indebted poor countries (HIPC),HPC,780234406
Croatia,HRV,4087843
Haiti,HTI,11123176
Hungary,HUN,9775564
IBRD only,IBD,4772284113
IDA & IBRD total,IBT,6412522234
IDA total,IDA,1640238121
IDA blend,IDB,555830605
Indonesia,IDN,267663435
IDA only,IDX,1084407516
Isle of Man,IMN,84077
India,IND,1352617328
Not classified,INX,
Ireland,IRL,4867309
Iran,IRN,81800269
Iraq,IRQ,38433600
Iceland,ISL,352721
Israel,ISR,8882800
Italy,ITA,60421760
Jamaica,JAM,2934855
Jordan,JOR,9956011
Japan,JPN,126529100
Kazakhstan,KAZ,18272430
Kenya,KEN,51393010
Kyrgyzstan,KGZ,6322800
Cambodia,KHM,16249798
Kiribati,KIR,115847
Saint Kitts and Nevis,KNA,52441
"Korea, South",KOR,51606633
Kuwait,KWT,4137309
Latin America & Caribbean (excluding high income),LAC,609013934
Laos,LAO,7061507
Lebanon,LBN,6848925
Liberia,LBR,4818977
Libya,LBY,6678567
Saint Lucia,LCA,181889
Latin America & Caribbean,LCN,641357515
Least developed countries: UN classification,LDC,1009662578
Low income,LIC,705417321
Liechtenstein,LIE,37910
Sri Lanka,LKA,21670000
Lower middle income,LMC,3022905169
Low & middle income,LMY,6383958209
Lesotho,LSO,2108132
Late-demographic dividend,LTE,2288665963
Lithuania,LTU,2801543
Luxembourg,LUX,607950
Latvia,LVA,1927174
Macao SAR; China,MAC,631636
St. Martin (French part),MAF,37264
Morocco,MAR,36029138
Monaco,MCO,38682
Moldova,MDA,2706049
Madagascar,MDG,26262368
Maldives,MDV,515696
Middle East & North Africa,MEA,448912859
Mexico,MEX,126190788
Marshall Islands,MHL,58413
Middle income,MIC,5678540888
North Macedonia,MKD,2082958
Mali,MLI,19077690
Malta,MLT,484630
Burma,MMR,53708395
Middle East & North Africa (excluding high income),MNA,382896715
Montenegro,MNE,622227
Mongolia,MNG,3170208
Northern Mariana Islands,MNP,56882
Mozambique,MOZ,29495962
Mauritania,MRT,4403319
Mauritius,MUS,1265303
Malawi,MWI,18143315
Malaysia,MYS,31528585
North America,NAC,364290258
Namibia,NAM,2448255
New Caledonia,NCL,284060
Niger,NER,22442948
Nigeria,NGA,195874740
Nicaragua,NIC,6465513
Netherlands,NLD,17231624
Norway,NOR,5311916
Nepal,NPL,28087871
Nauru,NRU,12704
New Zealand,NZL,4841000
OECD members,OED,1303529456
Oman,OMN,4829483
Other small states,OSS,30758989
Pakistan,PAK,212215030
Panama,PAN,4176873
Peru,PER,31989256
Philippines,PHL,106651922
Palau,PLW,17907
Papua New Guinea,PNG,8606316
Poland,POL,37974750
Pre-demographic dividend,PRE,919485393
Puerto Rico,PRI,3195153
Korea; Dem. Peopleâ€™s Rep.,PRK,25549819
Portugal,PRT,10283822
Paraguay,PRY,6956071
West Bank and Gaza,PSE,4569087
Pacific island small states,PSS,2457367
Post-demographic dividend,PST,1109997273
French Polynesia,PYF,277679
Qatar,QAT,2781677
Romania,ROU,19466145
Russia,RUS,144478050
Rwanda,RWA,12301939
South Asia,SAS,1814388744
Saudi Arabia,SAU,33699947
Sudan,SDN,41801533
Senegal,SEN,15854360
Singapore,SGP,5638676
Solomon Islands,SLB,652858
Sierra Leone,SLE,7650154
El Salvador,SLV,6420744
San Marino,SMR,33785
Somalia,SOM,15008154
Serbia,SRB,6982604
Sub-Saharan Africa (excluding high income),SSA,1078209758
South Sudan,SSD,10975920
Sub-Saharan Africa,SSF,1078306520
Small states,SST,40575321
Sao Tome and Principe,STP,211028
Suriname,SUR,575991
Slovakia,SVK,5446771
Slovenia,SVN,2073894
Sweden,SWE,10175214
Eswatini,SWZ,1136191
Sint Maarten (Dutch part),SXM,40654
Seychelles,SYC,96762
Syria,SYR,16906283
Turks and Caicos Islands,TCA,37665
Chad,TCD,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,459865205
Togo,TGO,7889094
Thailand,THA,69428524
Tajikistan,TJK,9100837
Turkmenistan,TKM,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713
Timor-Leste,TLS,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,378327628
Tonga,TON,103197
South Asia (IDA & IBRD),TSA,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520
Trinidad and Tobago,TTO,1389858
Tunisia,TUN,11565204
Turkey,TUR,82319724
Tuvalu,TUV,11508
Tanzania,TZA,56318348
Uganda,UGA,42723139
Ukraine,UKR,44622516
Upper middle income,UMC,2655635719
Uruguay,URY,3449299
US,USA,326687501
Uzbekistan,UZB,32955400
Saint Vincent and the Grenadines,VCT,110210
Venezuela,VEN,28870195
British Virgin Islands,VGB,29802
Virgin Islands (U.S.),VIR,106977
Vietnam,VNM,95540395
Vanuatu,VUT,292680
World,WLD,7594270356
Samoa,WSM,196130
Kosovo,XKX,1845300
Yemen,YEM,28498687
South Africa,ZAF,57779622
Zambia,ZMB,17351822
Zimbabwe,ZWE,14439018
